url,type_bien,quartier,surface,prix_total,prix_m2_final,date_publication,agence
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP950392AA?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Saint-Jean du Var,55.0,120000,2178.0,2026-01-08,Citya Estublier
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1973660?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Font Pré,40.0,163000,4075.0,2026-01-08,
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1970220?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Valbertrand,80.0,205000,2563.0,2026-01-08,
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1964312?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Saint-Roch,49.0,119000,2429.0,2026-01-08,
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1962081?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Saint-Roch,82.0,179000,2183.0,2026-01-08,
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1960344?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Haute-ville,62.0,168000,2710.0,2026-01-08,
https://www.bienici.com/annonce/vente/toulon/maison/5pieces/hektor-mourillon-388558?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Maison,Brunet,120.0,655000,5458.0,2026-01-08,IBOX  Mourillon
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/hektor-gravier11-140?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Sainte-Anne,32.0,109000,3125.0,2026-01-08,GRAVIER IMMOBILIER
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-gravier11-159?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Sainte-Anne,71.0,435000,5704.0,2026-01-08,GRAVIER IMMOBILIER
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-gustonimmobilier-5246?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Pont du Las,58.0,139000,2397.0,2026-01-08,GUSTON IMMOBILIER
