type_bien,quartier,surface_m2,prix_vente,prix_m2,url
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,48.0,315000,6562.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1889685?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Maison,La Chapelle - Saint-André,125.0,630000,5040.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/netty-company38777ezz-house-284?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,85.0,346500,4076.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-mtev13600-7912?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Le Port,85.0,350000,4118.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-centreville-387453?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Saint-Roch,48.0,117500,2448.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1786729?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Saint-Roch,87.0,226000,2598.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1875025?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Maison,Aguillon,70.0,280000,4000.0,https://www.bienici.com/annonce/vente/toulon/maison/2pieces/iad-france-1869389?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Pont du Las,75.0,125000,1667.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag832778-479339582?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Champs-de-Mars,57.0,159000,2789.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-centreville-387325?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Champs-de-Mars,68.0,125000,1838.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag340369-477908105?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Centre-ville,51.0,123900,2429.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1851107?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Claret,82.0,290000,3537.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-lpaimmo-27247?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Maison,Ubac - Dardennes - Barbasse - Mont Faron,250.0,1100000,4400.0,https://www.bienici.com/annonce/vente-de-prestige/toulon/maison/8pieces/hektor-agencemistral83-154?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,64.0,325000,5078.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1840602?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Claret,154.0,345000,2240.0,https://www.bienici.com/annonce/vente/toulon/appartement/6pieces/hektor-sixfours-388161?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Champs-de-Mars,82.0,185000,2256.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/iad-france-1925813?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Saint-Jean du Var,40.0,92000,2300.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-mourillon-388111?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Maison,La Chapelle - Saint-André,161.0,825000,5124.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/iad-france-1924990?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Haute-ville,70.0,252000,3600.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-mourillon-387023?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Haute-ville,68.0,278800,4100.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-mourillon-387027?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Haute-ville,85.0,348500,4100.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/hektor-mourillon-387024?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Maison,Saint-Jean du Var,180.0,1250000,6944.0,https://www.bienici.com/annonce/vente-de-prestige/toulon/maison/5pieces/netty-company38777ezz-house-2664?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Maison,Beaulieu,156.0,595000,3814.0,https://www.bienici.com/annonce/vente/toulon/maison/6pieces/hektor-bretteimmobilieranne-17805?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Champs-de-Mars,100.0,237000,2370.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/citya-immobilier-41039H-TAPP957200?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Maison,Valbertrand,38.0,188000,4947.0,https://www.bienici.com/annonce/vente/toulon/maison/2pieces/iad-france-1921625?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Beaulieu,120.0,309000,2575.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/adapt-immo-3011441516?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
