source,date_crawl,type_bien,nb_pieces,surface_m2,prix,prix_m2,quartier,criteres,titre,url
LeBonCoin,2026-03-09,Appartement,4.0,67.0,109000,1627.0,,,Appartement 4 pices 67 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2997874865
LeBonCoin,2026-03-09,Appartement,1.0,31.0,140000,4516.0,,,Appartement 1 pice 31 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2965856439
LeBonCoin,2026-03-09,Appartement,3.0,69.0,308000,4464.0,,,Appartement 3 pices 69 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3154751007
LeBonCoin,2026-03-09,Appartement,4.0,82.0,432000,5268.0,,,Appartement 4 pices 82 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3148616221
LeBonCoin,2026-03-09,Appartement,3.0,61.0,145000,2377.0,,,Appartement 3 pices 61 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3146007033
LeBonCoin,2026-03-09,Appartement,3.0,56.0,112000,2000.0,,,Appartement 3 pices 56 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3098395223
LeBonCoin,2026-03-09,Appartement,2.0,77.0,201680,2619.0,,,Appartement 2 pices 77 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3123249382
LeBonCoin,2026-03-09,Appartement,4.0,65.0,160000,2462.0,,,Appartement 4 pices 65 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3128961169
LeBonCoin,2026-03-09,Appartement,3.0,67.0,145000,2164.0,,,Appartement 3 pices 67 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3134223240
LeBonCoin,2026-03-09,Appartement,6.0,129.0,436000,3380.0,,,Appartement 6 pices 129 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3104402869
LeBonCoin,2026-03-09,Appartement,2.0,34.0,78000,2294.0,,,Appartement 2 pices 34 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3079064870
LeBonCoin,2026-03-09,Appartement,3.0,54.0,169000,3130.0,,,Appartement 3 pices 54 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3154506527
LeBonCoin,2026-03-09,Appartement,3.0,73.0,243000,3329.0,,,Appartement 3 pices 73 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3104474182
LeBonCoin,2026-03-09,Appartement,5.0,116.0,285000,2457.0,,,Appartement 5 pices 116 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3064427618
LeBonCoin,2026-03-09,Appartement,6.0,158.0,575000,3639.0,,,Appartement 6 pices 158 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3150689128
LeBonCoin,2026-03-09,Autre,8.0,256.0,649000,2535.0,,,Immeuble 8 pices 256 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3135086556
LeBonCoin,2026-03-09,Appartement,4.0,86.0,193000,2244.0,,,Appartement 4 pices 86 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3132497447
LeBonCoin,2026-03-09,Appartement,3.0,52.0,103200,1985.0,,,Appartement 3 pices 52 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3110982862
LeBonCoin,2026-03-09,Appartement,4.0,66.0,124000,1879.0,,,Appartement 4 pices 66 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2997874864
LeBonCoin,2026-03-09,Appartement,1.0,45.0,230000,5111.0,,,Appartement - 1 pice - VAL D'ORIA,https://www.leboncoin.fr/ad/ventes_immobilieres/3136052811
LeBonCoin,2026-03-09,Appartement,1.0,18.0,42000,2333.0,,,Appartement 1 pice 18 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3135678523
LeBonCoin,2026-03-09,Maison,6.0,180.0,879000,4883.0,,,Proprit 6 pices 180 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3154506549
LeBonCoin,2026-03-09,Appartement,4.0,75.0,180000,2400.0,,,Appartement 4 pices 75 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3154506533
LeBonCoin,2026-03-09,Appartement,2.0,47.0,159000,3383.0,,,Appartement 2 pices 47 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3123577067
LeBonCoin,2026-03-09,Appartement,5.0,126.0,258000,2048.0,,,Appartement 5 pices 126 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3079247015
LeBonCoin,2026-03-09,Appartement,2.0,25.0,82000,3280.0,,,Appartement 2 pices 25 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3148501968
LeBonCoin,2026-03-09,Appartement,1.0,18.0,76036,4224.0,,,Appartement 1 pice 18 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3146161855
LeBonCoin,2026-03-09,Appartement,4.0,85.0,267000,3141.0,,,Appartement 4 pices 85 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3138362913
LeBonCoin,2026-03-09,Appartement,4.0,74.0,235000,3176.0,,,Appartement 4 pices 74 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3140610555
LeBonCoin,2026-03-09,Appartement,2.0,28.0,92000,3286.0,,,Appartement 2 pices 28 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3130835913
LeBonCoin,2026-03-09,Appartement,4.0,89.0,285000,3202.0,,,Appartement 4 pices 89 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3114549802
LeBonCoin,2026-03-09,Appartement,3.0,57.0,134000,2351.0,,,Appartement 3 pices 57 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3024625990
LeBonCoin,2026-03-09,Appartement,3.0,81.0,189000,2333.0,,,Appartement 3 pices 81 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3154506522
LeBonCoin,2026-03-09,Autre,,207.0,498000,2406.0,,,Immeuble 207 m Toulon,https://www.leboncoin.fr/ad/ventes_immobilieres/3113600429
LeBonCoin,2026-03-09,Maison,6.0,240.0,1190000,4958.0,,,Maison 6 pices 240 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2982482239
LeBonCoin,2026-03-09,Appartement,2.0,54.0,199000,3685.0,,,Appartement 2 pices 54 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3084726123
LeBonCoin,2026-03-09,Appartement,4.0,78.0,220000,2821.0,,,Appartement 4 pices 78 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3042420851
LeBonCoin,2026-03-09,Appartement,1.0,24.0,109500,4562.0,mourillon,travaux,T1 au cur du Mourillon aucun travaux  prvoir,https://www.leboncoin.fr/ad/ventes_immobilieres/3157801299
LeBonCoin,2026-03-09,Appartement,1.0,34.0,95000,2794.0,,,Appartement 1 pice 34 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3085302981
LeBonCoin,2026-03-09,Appartement,5.0,104.0,300000,2885.0,,,Appartement 5 pices 104 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3132876990
LeBonCoin,2026-03-09,Appartement,2.0,43.0,178000,4140.0,,,Appartement - 2 pices - VAL D'ORIA,https://www.leboncoin.fr/ad/ventes_immobilieres/3058829293
LeBonCoin,2026-03-09,Maison,5.0,122.0,555000,4549.0,,,Maison 5 pices 122 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3130524701
LeBonCoin,2026-03-09,Appartement,3.0,67.0,178000,2657.0,,,Appartement 3 pices 67 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3138884273
LeBonCoin,2026-03-09,Appartement,3.0,74.0,316000,4270.0,,,Appartement 3 pices 74 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3063325280
LeBonCoin,2026-03-09,Appartement,2.0,52.0,161200,3100.0,,,Appartement 2 pices 52 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3074408142
