source,date_annonce,date_crawl,titre,type_bien,type_achat,budget_max,surface_min,nb_pieces,quartier_souhaite,criteres,url,description,prix,surface,prix_m2,quartier,date_publication,surface_m2,segment
LeBonCoin,,2026-03-10,Immeuble 42 m² Toulon,Autre,,,,,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3096368456,,141500.0,42.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 62 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3096657499,,155000.0,62.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 143 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3096661140,,499000.0,143.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 65 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3096504513,,151000.0,65.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 82 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3154121067,,229000.0,82.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 80 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3110486693,,420000.0,80.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 5 pièces 100 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3116421047,,315000.0,100.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement rénové échapée mer rue d'ALGER,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159072544,,159000.0,68.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 5 pièces 153 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3116638670,,1490000.0,153.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement - 3 pièces - FERRYVILLE,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3150854757,,256000.0,59.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Duplex 5 pièces 120 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3142335271,,880000.0,120.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,T2 DE 50 M² TOULON LE MOURILLON parfait état,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3116316208,,165000.0,50.0,,mourillon,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 69 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3095911663,,169000.0,69.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,"Appartement, 100 m² à vendre ToulonC’est",Appartement,,,,6.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159033113,,300000.0,100.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 72 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3150593285,,169000.0,72.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,LMNP Toulon – Résidence étudiante GSA Alfred Nobel – Loyer 3 121 HT/an – 55 000 – Parking,Appartement,,,,1.0,,parking/garage,https://www.leboncoin.fr/ad/ventes_immobilieres/3156481224,,55000.0,18.39,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 96 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3148233330,,479000.0,96.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Villa 5 pièces 94 m²,Maison,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3113721615,,385000.0,94.0,,Non precise,,,Chercheur maison/villa
LeBonCoin,,2026-03-10,Appartement 3 pièces 79 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3127184148,,137000.0,79.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Maison 4 pièces 92 m²,Maison,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3148494434,,642000.0,92.0,,Non precise,,,Chercheur maison/villa
LeBonCoin,,2026-03-10,Appartement 6 pièces 148 m²,Appartement,,,,6.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3154917365,,180000.0,148.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 5 pièces 105 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3134290847,,339000.0,105.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 46 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3143661276,,128000.0,46.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 85 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3121128068,,208949.0,85.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 66 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3109145875,,175000.0,66.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Studio 1 pièce 30 m²,Appartement,,,,1.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3091669461,,128000.0,30.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 165 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3088397700,,699000.0,165.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 40 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3158947701,,157000.0,40.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 47 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3158947704,,195000.0,47.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Grand T2 _TOULON centre-ville,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3134976237,,217000.0,70.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 76 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3114208141,,174900.0,76.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Duplex 3 pièces 62 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3105382325,,205000.0,62.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Maison 4 pièces 102 m²,Maison,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3158936203,,512000.0,102.0,,Non precise,,,Chercheur maison/villa
LeBonCoin,,2026-03-10,Appartement 3 pièces 58 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3034741337,,110000.0,58.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 50 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/2955272330,,206000.0,50.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Duplex 3 pièces 57 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3158935679,,235000.0,57.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 113 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3139125923,,279900.0,113.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 59 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3138190411,,198000.0,59.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 93 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3071581692,,269000.0,93.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 78 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/2928091000,,290000.0,78.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 52 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3154821138,,124000.0,52.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 66 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3105246339,,176000.0,66.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 73 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/2905696044,,166000.0,73.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement - 3 pièces - Frais de notaire offerts jusqu'au 28 février (1),Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/2853563978,,443000.0,62.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement - 4 pièces - Frais de notaire offerts jusqu'au 28 février (1),Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/2853563980,,990000.0,117.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Maison - 4 pièces - Frais de notaire offerts jusqu'au 28 février (1),Maison,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/2853563979,,642000.0,92.0,,Non precise,,,Chercheur maison/villa
LeBonCoin,,2026-03-10,Toulon Centre ville,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3135403689,,249000.0,100.0,,centre ville,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 86 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3130955960,,290000.0,86.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 71 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3154916728,,207500.0,71.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Terrain 360 m² Toulon,Terrain,,,,,,,https://www.leboncoin.fr/ad/ventes_immobilieres/2994285309,,690000.0,360.0,1917.0,Non precise,,,Non classifié
